ID auta,symbol,Nazwa auta,typ paliwa,turbo/std,liczba drzwi,typ nadwozia,naped,dlugosc,szerokosc,wysokosc,masa,typ silnika,liczba cylindrow,pojemnosc silnika,moc silnika,spalanie-miasto,spalanie-autostrada,cena
1,3,alfa-romero giulia,benzyna,std,2,kabriolet,rwd,168.8,64.1,48.8,2548,dohc,4,130,111,21,27,13495
2,3,alfa-romero stelvio,benzyna,std,2,kabriolet,rwd,168.8,64.1,48.8,2548,dohc,4,130,111,21,27,?
3,1,alfa-romero Quadrifoglio,benzyna,std,2,hatchback,rwd,171.2,65.5,52.4,2823,ohcv,6,152,154,19,26,16500
4,2,audi 100 ls,benzyna,std,4,sedan,fwd,176.6,66.2,54.3,2337,ohc,4,109,102,24,30,13950
5,2,audi 100ls,benzyna,std,4,sedan,4wd,176.6,66.4,54.3,2824,ohc,5,136,115,18,22,17450
6,2,audi fox,benzyna,std,2,sedan,fwd,177.3,66.3,53.1,2507,ohc,5,136,110,19,25,
7,1,audi 100ls,benzyna,std,4,sedan,fwd,192.7,71.4,55.7,2844,ohc,5,136,110,19,25,17710
8,1,audi 5000,benzyna,std,4,kombi,fwd,192.7,71.4,55.7,2954,ohc,5,136,110,19,25,18920
9,1,audi 4000,benzyna,turbo,4,sedan,fwd,192.7,71.4,55.9,3086,ohc,5,131,140,17,20,23875
10,0,audi 5000s (diesel),benzyna,turbo,2,hatchback,4wd,178.2,67.9,52,3053,ohc,5,131,160,16,22,17859
11,2,bmw 320i,benzyna,std,2,sedan,rwd,176.8,64.8,54.3,2395,ohc,4,108,101,23,29,16430
12,0,bmw 320i,benzyna,std,4,sedan,rwd,176.8,64.8,54.3,2395,ohc,4,108,101,23,29,16925
13,0,bmw x1,benzyna,std,2,sedan,rwd,176.8,64.8,54.3,2710,ohc,6,164,121,21,28,20970
14,0,bmw x3,benzyna,std,4,sedan,rwd,176.8,64.8,54.3,2765,ohc,6,164,121,21,28,21105
15,1,bmw z4,benzyna,std,4,sedan,rwd,189,66.9,55.7,3055,ohc,6,164,121,20,25,24565
16,0,bmw x4,benzyna,std,4,sedan,rwd,189,66.9,55.7,3230,ohc,6,209,182,16,22,30760
17,0,bmw x5,benzyna,std,2,sedan,rwd,193.8,67.9,53.7,3380,ohc,6,209,182,16,22,41315
18,0,bmw x3,benzyna,std,4,sedan,rwd,197,70.9,56.3,3505,ohc,6,209,182,15,20,36880
19,2,chevrolet impala,benzyna,std,2,hatchback,fwd,141.1,60.3,53.2,1488,ZI,3,61,48,47,53,5151
20,1,chevrolet monte carlo,benzyna,std,2,hatchback,fwd,155.9,63.6,52,1874,ohc,4,90,70,38,43,6295
21,0,chevrolet vega 2300,benzyna,std,4,sedan,fwd,158.8,63.6,52,1909,ohc,4,90,70,38,43,6575
22,1,dodge rampage,benzyna,std,2,hatchback,fwd,157.3,63.8,50.8,1876,ohc,4,90,68,37,41,5572
23,1,dodge challenger se,benzyna,std,2,hatchback,fwd,157.3,63.8,50.8,1876,ohc,4,90,68,31,38,6377
24,1,dodge d200,benzyna,turbo,2,hatchback,fwd,157.3,63.8,50.8,2128,ohc,4,98,102,24,30,7957
25,1,dodge monaco (sw),benzyna,std,4,hatchback,fwd,157.3,63.8,50.6,1967,ohc,4,90,68,31,38,6229
26,1,dodge colt hardtop,benzyna,std,4,sedan,fwd,157.3,63.8,50.6,1989,ohc,4,90,68,31,38,6692
27,1,dodge colt (sw),benzyna,std,4,sedan,fwd,157.3,63.8,50.6,1989,ohc,4,90,68,31,38,7609
28,1,dodge coronet custom,benzyna,turbo,2,sedan,fwd,157.3,63.8,50.6,2191,ohc,4,98,102,24,30,8558
29,-1,dodge dart custom,benzyna,std,4,kombi,fwd,174.6,64.6,59.8,2535,ohc,4,122,88,24,30,8921
30,3,dodge coronet custom (sw),benzyna,turbo,2,hatchback,fwd,173.2,66.3,50.2,2811,ohc,4,156,145,19,24,12964
31,2,honda civic,benzyna,std,2,hatchback,fwd,144.6,63.9,50.8,1713,ohc,4,92,58,49,54,6479
32,2,honda civic cvcc,benzyna,std,2,hatchback,fwd,144.6,63.9,50.8,1819,ohc,4,92,76,31,38,6855
